round,global_calibration_loss,global_test_reconstruction_loss,threshold,accuracy,precision,recall,f1_score,roc_auc
1,0.07788053154945374,0.13341815769672394,0.21827706694602966,0.5087815187290482,0.7725498940796075,0.15285008382599488,0.25520708642566436,0.684779985679229
2,0.03528108075261116,0.08311498165130615,0.10861378163099289,0.5217048049361124,0.7650725799269747,0.18951292685078974,0.30377822174289704,0.7576936478855103
3,0.02238364703953266,0.06116956099867821,0.06824249774217606,0.5152310158868969,0.7560468631897204,0.17651989764404835,0.28621503684097577,0.7897742880752454
4,0.014640546403825283,0.05051332339644432,0.042076654732227325,0.5525069231890395,0.8007937070370633,0.24927203741286508,0.38019615429907644,0.8156825659816704
5,0.010329569689929485,0.04421212896704674,0.031196122989058495,0.6007384734975465,0.8434020504905744,0.3375319862348893,0.4821186627595551,0.8365008206719912
