model,accuracy,precision,recall,f1_score,roc_auc,round,global_calibration_loss,global_test_reconstruction_loss,threshold
Step 3 baseline,0.8163047174853034,0.9081720895038374,0.7413306273713933,0.8163136416634279,0.8825279401103212,,,,
Federated global (final round),0.6007384734975465,0.8434020504905744,0.3375319862348893,0.4821186627595551,0.8365008206719912,5.0,0.010329569689929485,0.04421212896704674,0.031196122989058495
